Address,Business Name,Live Date,Latitude,Longitude
14900 E 8 Mile Rd,Dunkin Donuts,5/18/17,42.44945,-82.96864
8820 Wyoming Ave,Citgo,5/20/17,42.35962,-83.1575
650 Chene St,Chene Liquor Shop,5/22/17,42.37626,-83.0473
18320 W Chicago St,Cody Liquor,5/24/17,42.36507,-83.21935
12050 Grand River Ave,Marathon,5/26/17,42.37732,-83.15929
10100 Mack Ave,BP,5/30/17,42.37356,-82.99022
1901 E 7 Mile Rd,Sunoco,5/30/17,42.43296,-83.08286
3701 Joy Rd,Grand Liquor,5/31/17,42.37008,-83.11765
2915 John R St,The Carlton Lofts,6/1/17,42.34493,-83.05421
20545 W 7 Mile Rd,Citgo,6/2/17,42.42913,-83.245
20913 Joy Rd,Royal Car Wash,6/5/17,42.35701,-83.24644
20800 W 7 Mile Rd,Valero,6/6/17,42.42973,-83.2478
24341 W 7 Mile Rd,Bellagio Liquor,6/13/17,42.42856,-83.2814
15750 Joy Rd,Fairlane Nursing Centre,6/13/17,42.35895,-83.20049
3810 E McNichols Rd,Diamond Liquor,6/20/17,42.4186,-83.06354
10833 W 7 Mile Rd,Mobil,6/21/17,42.43087,-83.17025
17230 Harper Ave,Exxon,6/22/17,42.41737,-82.93407
17785 Grand River Ave,Valero,6/28/17,42.40013,-83.21704
23540 W 7 Mile Rd,Sunoco,6/28/17,42.42935,-83.27229
17776 Grand River Ave,BP,6/28/17,42.40084,-83.21739
10736 E Jefferson Ave,BP,6/29/17,42.36414,-82.97553
6707 Dix St,Certified Alignment & Suspension,7/6/17,42.31566,-83.11751
15630 Plymouth Rd,Royal Car Wash,7/13/17,42.37286,-83.19915
4607 E 7 Mile Rd,Pick A Snack Party Shoppe,7/13/17,42.43349,-83.05758
11002 Hayes St,Hayes Liquor Basket,7/17/17,42.41594,-82.9645
9100 Chalmers St,76 Gas,7/17/17,42.4057,-82.96462
7310 Mack Ave,Elbow Lounge,7/18/17,42.36484,-83.0112
4475 Second Ave,City Center Coin Laundry,7/20/17,42.35179,-83.067
15405 Gratiot Ave #300,MetroPCS,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #200,Game Stop,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #500,Dollar Center,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #150,Advance America,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #600,City Warehouse,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #250,Vacant,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #100,Little Caesar's Pizza,7/24/17,42.44828,-82.97008
15405 Gratiot Ave #400,Tax Giant,7/24/17,42.44828,-82.97008
18430 Ford Rd,Wendy's,7/26/17,42.32943,-83.2197
5637 Charles St,Super X Liquor,7/26/17,42.41205,-83.0457
114 W Adams Ave,Briggs Houze,7/27/17,42.33632,-83.05307
10542 Whittier St,Whittier Market,7/28/17,42.41698,-82.95227
7100 W 7 Mile Rd,State Farm,7/31/17,42.43177,-83.14397
16226 E Warren Ave,Public Foods,8/2/17,42.40192,-82.9403
23740 W 7 Mile Rd,7-Tel Party Store,8/2/17,42.42934,-83.27446
13001 Hayes St,Hayes Troester,8/4/17,42.42656,-82.96559
17315 Mack Ave,Trolleys Bar,8/8/17,42.39764,-82.92042
18137 Joy Rd,BP,8/11/17,42.35754,-83.21729
15501 Plymouth Rd,McDonald's,8/14/17,42.37223,-83.1981
18137 Joy Rd,McDonald's,8/14/17,42.35754,-83.21729
14854 Grand River Ave,Food Lane Market,8/15/17,42.39012,-83.19142
3801 W Vernor Hwy,Valero,8/16/17,42.32247,-83.08946
24761 W 7 Mile Rd,BP,8/16/17,42.4283,-83.28581
16136 W 7 Mile Rd,Peaceful Hearts Adult Day Treatment,8/17/17,42.43038,-83.20671
15500 Plymouth Rd,Marathon,8/17/17,42.3729,-83.19806
7400 Woodward Ave,New Center Liquor,8/23/17,42.37136,-83.07362
17200 W McNichols Rd,Mega Liquor,8/25/17,42.41593,-83.21227
17336 Lahser Rd,Motor City Java,8/29/17,42.41713,-83.25734
8901 Woodward Ave,Marathon,8/31/17,42.38147,-83.0813
20436 W 7 Mile Rd,International Language Solutions,9/6/17,42.42973,-83.24393
12340 Dexter Ave,Valero,9/8/17,42.38444,-83.12665
5015 Livernois Ave,Sunoco,9/12/17,42.33669,-83.12448
418 W Willis St,Alley Taco,10/11/17,42.35047,-83.06382
22355 W 8 Mile Rd,West Oaks Senior Care,10/30/17,42.44263,-83.26426
15229 W 8 Mile Rd,GDI Services Inc.,10/30/17,42.45025,-82.96551
