Address,Name,Date,Latitude,Longitude,CensusBlock,CensusBlockGroup,CensusTract,ISGAS,ISLIQUOR,ISFAST
10300 Mack Ave,Mack & Bewick Market,12/28/16,42.37437,-82.98841,2003,2,5139,0,0,0
11320 Dexter Ave,Barrel & Bottle Party Shoppe,12/27/16,42.37746,-83.12211,2009,2,5314,0,1,0
21740 W McNichols Rd,Sunoco,12/27/16,42.41481,-83.25644,3006,3,5412,1,0,0
11250 E Jefferson Ave,Parkway Foods,12/21/16,42.36641,-82.9717,1004,1,5137,0,0,0
10450 Shoemaker St,Wonder Foods,12/21/16,42.38935,-82.99684,2006,2,5143,0,0,0
12930 E 7 Mile Rd,Super Clean Coin Laundry,12/20/16,42.43445,-82.99169,3001,3,5035,0,0,0
20354 W 7 Mile Rd,Boost Mobile,12/19/16,42.42976,-83.2426,1013,1,5410,0,0,0
17121 Livernois Ave,McDonald's,12/15/16,42.41737,-83.14081,2009,2,5385,0,0,1
17256 W 7 Mile Rd,Lindsay Food & Drug,12/14/16,42.43023,-83.21341,6016,6,5402,0,0,0
19840 Van Dyke Rd,McDonald's,12/12/16,42.44087,-83.02394,2004,2,5051,0,0,1
10100 E 8 Mile Rd,Bel-Air Luxury Cinema,12/9/16,42.445,-83.01552,1001,1,5051,0,0,0
1715 Michigan Ave,Marathon,12/8/16,42.33114,-83.06962,1022,1,5214,1,0,0
9130 Linwood St,Valero,12/8/16,42.37305,-83.10844,2008,2,5312,1,0,0
13676 Grand River Ave,McDonald's,12/7/16,42.38487,-83.17887,2007,2,5372,0,0,1
15401 Joy Rd,Benchmark Party Shoppe,12/7/16,42.35782,-83.19619,2013,2,5355,0,1,0
15700 Livernois Ave,Uptown BBQ & Soulfood,12/6/16,42.40666,-83.14004,4008,4,5302,0,0,0
18000 Livernois Ave,Savon Foods,12/2/16,42.42301,-83.14071,3007,3,5384,0,0,0
2847 E 7 Mile Rd,Asian Corned Beef,12/1/16,42.43297,-83.07451,1009,1,5074,0,0,0
10520 E Jefferson Ave,Eastown,12/1/16,42.36318,-82.97751,1029,1,5137,0,0,0
2819 E 7 Mile Rd,New Merchant Food Center,12/1/16,42.43317,-83.07516,1009,1,5074,0,0,0
2867 E 7 Mile Rd,Scotch Castle Liquor Land,12/1/16,42.43298,-83.07394,1009,1,5074,0,1,0
20001 Schoolcraft Ave,Sonny's Hamburgers,12/1/16,42.38588,-83.23754,1014,1,5437,0,0,0
20400 Grand River Ave,Sunoco,11/29/16,42.41073,-83.24241,1041,1,5432,1,0,0
9939 E Jefferson Ave,Riviera Auto Service,11/22/16,42.36112,-82.98228,2016,2,5136,0,0,0
15321 Wyoming Ave,McDonald's,11/21/16,42.40292,-83.15978,1012,1,5368,0,0,1
6835 Michigan Ave,Super Dollar Store,11/18/16,42.33046,-83.12747,3004,3,5257,0,0,0
16424 E Warren Ave,Royalty Dance Studio,11/17/16,42.40311,-82.93703,2002,2,5018,0,0,0
14340 W McNichols Rd,Southern Smokehouse,11/15/16,42.41675,-83.18705,3016,3,5395,0,0,0
8045 Linwood St,Prestige Liquor,11/11/16,42.36472,-83.10338,1003,1,5333,0,1,0
13601 W McNichols Rd,Citgo,11/10/16,42.4162,-83.18029,2000,2,5369,1,0,0
7633 W Vernor Hwy,Cricket Wireless,11/9/16,42.31279,-83.12378,3000,3,5240,0,0,0
7635 W Vernor Hwy,Paul's Pizza,11/9/16,42.31269,-83.12363,3000,3,5240,0,0,0
7631 W Vernor Hwy,Sherry's on Vernor,11/9/16,42.31277,-83.12349,3000,3,5240,0,0,0
11700 Chalmers St,Citgo,11/3/16,42.42037,-82.97405,1003,1,5041,1,0,0
12800 E 7 Mile Rd,East Track,11/3/16,42.43449,-82.99322,3002,3,5035,0,0,0
15201 E 7 Mile Rd,Sunoco,11/2/16,42.43573,-82.96503,2009,2,5003,1,0,0
15530 W Warren Ave,Dollar Center,11/1/16,42.34392,-83.19693,2007,2,5455,0,0,0
14999 Gratiot Ave,Gratiot & Fairmount Market,10/28/16,42.44381,-82.97203,2006,2,5031,0,0,0
19222 Grand River Ave,Rosedale Community Pharmacy,10/26/16,42.40599,-83.23067,1026,1,5430,0,0,0
19331 W 7 Mile Rd,Sunoco,10/18/16,42.42946,-83.23293,1002,1,5406,1,0,0
18120 W McNichols Rd,Mobil,10/13/16,42.41585,-83.21973,1018,1,5405,1,0,0
18525 W 7 Mile Rd,BP,9/28/16,42.42962,-83.22499,4007,4,5405,1,0,0
6500 Gratiot Ave,Citgo,9/7/16,42.36726,-83.02183,2006,2,5162,1,0,0
16951 Telegraph Rd,Valero,8/26/16,42.41414,-83.27789,3001,3,5443,1,0,0
21500 Fenkell St,Exxon,8/24/16,42.40068,-83.25357,1014,1,5435,1,0,0
13403 W 7 Mile Rd,Schaefer Seven Drugs,8/1/16,42.43086,-83.17881,1017,1,5033,0,0,0
15440 Schoolcraft Ave,Valero,7/30/16,42.38744,-83.19768,1013,1,5373,1,0,0
8536 Linwood Ave,One Stop Liquor,7/27/16,42.36865,-83.10518,3005,3,5331,0,1,0
8825 E Jefferson Ave,McDonald's,7/23/16,42.35658,-82.98755,1014,1,5156,0,0,1
18551 Grand River Ave,Royal Fresh Market,7/23/16,42.40257,-83.22427,1000,1,5429,0,0,0
15550 W McNichols Rd,McDonald's,7/12/16,42.41602,-83.20005,1011,1,5404,0,0,1
2600 Bagley Ave,Mexican Village Restaurant,6/28/16,42.32552,-83.07838,1014,1,5211,0,0,0
1920 W Fisher Fwy,Mobil,6/21/16,42.33371738,-83.07421652,1091,1,5215,1,0,0
9540 Greenfield Rd,Glass Bottle Shoppe,6/6/16,42.36611,-83.19691,3007,3,5353,0,0,0
6876 Michigan Ave,McDonald's,6/4/16,42.3312,-83.12777,1004,1,5258,0,0,1
22021 W 8 Mile Rd,McDonald's,5/27/16,42.44283,-83.26,1001,1,5415,0,0,1
8935 E Jefferson Ave,Hibbard Market,5/27/16,42.27938,-83.12983,1013,1,5156,0,0,0
8290 Woodward Ave,Turkey Grill,5/23/16,42.37632,-83.07698,2020,2,5119,0,0,0
19195 Livernois Ave,Mike's Fresh Market,5/14/16,42.4325,-83.14148,3018,3,5389,0,0,0
18426 Plymouth Rd,Starter's Bar & Grill,5/14/16,42.37244,-83.22116,1025,1,5469,0,0,0
6416 E Jefferson Ave,Palace Plaza Liquor,5/10/16,42.34411,-83.00887,1002,1,5165,0,1,0
