Company Name,Address,City,State,ZIP Code,Primary SIC Code,Primary SIC Description,SIC Code 1,SIC Code 1 Description
Supermercardo LA Jaliscencell,3923 W Vernor Hwy,Detroit,MI,48216,531104,Retail Shops,531104,Retail Shops
Supreme Food Ctr Inc,16135 Schoolcraft St,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail
T N Foods Inc,1515 Alfred St,Detroit,MI,48207,514107,Food Bulk (Whls),514107,Food Bulk (Whls)
Tayven Food Corp Southfield,23800 Grand River Ave,Detroit,MI,48219,581208,Restaurants,581208,Restaurants
Temple Trumbull Market,2846 Trumbull St,Detroit,MI,48216,541105,Grocers-Retail,541105,Grocers-Retail
Three B Party Store,18300 W Warren Ave,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail
Thrifty Scot Supermarket,3431 Joy Rd,Detroit,MI,48206,541105,Grocers-Retail,541105,Grocers-Retail
Timmy's Market Inc,17700 W 7 Mile Rd,Detroit,MI,48235,541105,Grocers-Retail,541105,Grocers-Retail
Tobey's Market,5546 Chopin St,Detroit,MI,48210,541105,Grocers-Retail,541105,Grocers-Retail
Tower Liquor Shoppe Inc,12700 Grand River Ave,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail
Town Food,7811 Gratiot Ave,Detroit,MI,48213,541104,Food Products-Retail,541104,Food Products-Retail
Unique Food Market,1681 Lawndale St,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail
United African Market,20139 Joy Rd,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail
University Food Ctr,1131 W Warren Ave,Detroit,MI,48201,541105,Grocers-Retail,541105,Grocers-Retail
Us Quality Supermarket,15690 Joy Rd # 2,Detroit,MI,48228,531104,Retail Shops,531104,Retail Shops
Value Save Food Ctr,14470 Livernois Ave # 1,Detroit,MI,48238,541105,Grocers-Retail,541105,Grocers-Retail
Vernor Food Ctr,8801 W Vernor Hwy,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail
Vic's Market,5009 Tireman St,Detroit,MI,48204,541105,Grocers-Retail,541105,Grocers-Retail
Wagner Market,5804 Tarnow St,Detroit,MI,48210,541105,Grocers-Retail,541105,Grocers-Retail
Wally's,161 W Congress St,Detroit,MI,48226,541103,Convenience Stores,541103,Convenience Stores
Warren Bakery,16010 W Warren Ave,Detroit,MI,48228,546102,Bakers-Retail,546102,Bakers-Retail
Whittier Market Inc,10240 Whittier St,Detroit,MI,48224,599999,Miscellaneous Retail Stores NEC,599999,Miscellaneous Retail Stores NEC
Whole Foods Market,115 Mack Ave,Detroit,MI,48201,541105,Grocers-Retail,541105,Grocers-Retail
Wigley's Meats & Produce,3405 Russell St,Detroit,MI,48207,542107,Meat-Retail,542107,Meat-Retail
Wonder Foods,10450 Shoemaker St,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail
Wyoming & Six Food Market,17124 Wyoming St,Detroit,MI,48221,541105,Grocers-Retail,541105,Grocers-Retail
Y & Z Party Store,11200 Hayes St,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail
Yeman Market,4044 Miller St,Detroit,MI,48211,541105,Grocers-Retail,541105,Grocers-Retail
Yorkshire Food Market,16711 Mack Ave,Detroit,MI,48224,541105,Grocers-Retail,541105,Grocers-Retail
