CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,Latitude,Longitude
Detroit Waldorf School,2555 Burns St,Detroit,MI,48214,839998,Non-Profit Organizations,42.3643355,-82.9974921
Dorsey Schools Dearborn,18660 Ford Rd,Detroit,MI,48228,821103,Schools,42.32908583,-83.2219694
Dove Academy Of Detroit,20001 Wexford St,Detroit,MI,48234,821103,Schools,42.44160306,-83.06572105
DPS School,17525 Wyoming St,Detroit,MI,48221,821103,Schools,42.4214012,-83.1632882
Durfee Middle School,2470 Collingwood St,Detroit,MI,48206,821103,Schools,42.38168042,-83.11014815
EAA-Central Collegiate Academy,2425 Tuxedo St,Detroit,MI,48206,821103,Schools,42.38467291,-83.11263823
EAA-Murphy Elementary-Middle,23901 Fenkell St,Detroit,MI,48223,821103,Schools,42.3991281,-83.2746965
Earhart Elementary-Middle Sch,1000 Scotten St,Detroit,MI,48209,821103,Schools,42.3160623,-83.0895316
East English Vlg Preparatory,5020 Cadieux Rd,Detroit,MI,48224,821103,Schools,42.4086861,-82.9288648
Edison Elementary School,17045 Grand River Ave,Detroit,MI,48227,821103,Schools,42.39815354,-83.21222024
Edmonson Academy,1300 W Canfield St,Detroit,MI,48201,821103,Schools,42.34862152,-83.07499475
Edward 'Duke' Ellington @,9860 Park Dr,Detroit,MI,48213,821103,Schools,42.4083508,-82.9785838
Eman Inc,6111 Miller St,Detroit,MI,48211,821103,Schools,42.3908099,-83.0398122
Emerson Elementary-Middle Sch,18240 Huntington Rd,Detroit,MI,48219,821103,Schools,42.42282595,-83.23305457
Erma Henderson Upper School,16101 W Chicago St,Detroit,MI,48228,821103,Schools,42.36518392,-83.20376315
Ernest J Dossin Elem-Mdle Schl,16650 Glendale St,Detroit,MI,48227,821103,Schools,42.3833533,-83.2108784
Evergreen Lutheran Church,8680 Evergreen Ave,Detroit,MI,48228,866107,Churches,42.3565979,-83.2355184
Excellent Schools Detroit,18100 Meyers Rd,Detroit,MI,48235,821103,Schools,42.4230904,-83.1690038
Excellent Schools Detroit,20405 Schoolcraft,Detroit,MI,48223,821103,Schools,42.3858684,-83.2412139
Excellent Schools Detroit,2111 Woodward Ave # 506,Detroit,MI,48201,869903,Organizations,42.3376844,-83.05145955
Experiencia Preparatory Acad,950 Selden St,Detroit,MI,48201,821103,Schools,42.3465175,-83.0683998
Fisher Lower School,15510 E State Fair St,Detroit,MI,48205,821103,Schools,42.44265442,-82.9619675
Fisher Magnet School,15491 Maddelein St,Detroit,MI,48205,821103,Schools,42.43648611,-82.9619985
Fleming Elementary School,18501 Waltham St,Detroit,MI,48205,821103,Schools,42.43017354,-82.99477181
Foreign Language Immersion,6501 W Outer Dr,Detroit,MI,48235,821103,Schools,42.41985046,-83.18965513
Franklin Adult Education,1333 Pine St,Detroit,MI,48201,822298,Junior-Community College-Tech Institutes,42.33628611,-83.06704148
Frederick Douglass College Prp,2001 W Warren Ave,Detroit,MI,48208,821103,Schools,42.3492706,-83.0836055
Gardner Elementary School,6528 Mansfield St,Detroit,MI,48228,821103,Schools,42.3392085,-83.2015837
Garvey Academy,2301 Van Dyke St,Detroit,MI,48214,821103,Schools,42.35950358,-83.00083382
Gee White Academy,5161 Charles St,Detroit,MI,48212,821103,Schools,42.41180707,-83.04998098
George Crockett Academy,4851 14th St,Detroit,MI,48208,821103,Schools,42.34998096,-83.08722088
Gesu Church School,17139 Oak Dr,Detroit,MI,48221,821101,Religious Schools,42.4180844,-83.1383854
Giving Tree Montessori Sch Inc,4351 Marseilles St,Detroit,MI,48224,821105,Montessori Schools,42.4030391,-82.9176694
Glazer Elementary School,2001 LA Belle St,Detroit,MI,48238,821103,Schools,42.39949741,-83.116616
Golightly Educational Ctr,5536 Saint Antoine St,Detroit,MI,48202,821103,Schools,42.3648361,-83.0591282
Great North Learning Ctr,2216 E 7 Mile Rd,Detroit,MI,48234,821103,Schools,42.43282265,-83.08026114
Growing Minds Learning Ctr,11475 E Outer Dr,Detroit,MI,48224,835102,Schools-Nursery & Kindergarten Academic,42.4058067,-82.9487375
Hamilton Academy,14223 Southampton St,Detroit,MI,48213,821103,Schools,42.3989188,-82.9631227
Harms Elementary School,2400 Central St,Detroit,MI,48209,821103,Schools,42.3143433,-83.1247494
Henry Ford Acad Schl-Creative,485 W Milwaukee St,Detroit,MI,48202,821103,Schools,42.36815359,-83.07487193
Henry Ford Academy,10225 3rd St,Detroit,MI,48202,821103,Schools,42.3865747,-83.0924866
Henry Ford High School,20000 Evergreen Rd,Detroit,MI,48219,821103,Schools,42.43840935,-83.23911523
Holy Redeemer Grade School,1711 Junction St,Detroit,MI,48209,821103,Schools,42.31675466,-83.10117888
Hom & Arene,150 W Jefferson Ave # 1500,Detroit,MI,48226,811103,Attorneys,42.3284408,-83.0465901
Hope Academy,12121 Broadstreet Ave,Detroit,MI,48204,821103,Schools,42.3792949,-83.1354484
Hope Of Detroit Academy School,4443 N Campbell St,Detroit,MI,48210,821103,Schools,42.33471022,-83.11669601
Hutchinson Elementary-Middle,2600 Garland St,Detroit,MI,48214,821103,Schools,42.36876331,-82.98307972
Innovative Teaching Solutions,7000 W Outer Dr,Detroit,MI,48235,821103,Schools,42.4200713,-83.2008353
Innovative Teaching Solutions,8001 W Outer Dr,Detroit,MI,48235,821103,Schools,42.4184717,-83.2165789
Insurance School,24409 W Mcnichols Rd,Detroit,MI,48219,821103,Schools,42.41433121,-83.28114583
International Institute,111 E Kirby St,Detroit,MI,48202,839998,Non-Profit Organizations,42.36057314,-83.06527077
Jalen Rose Leadership Academy,15000 Trojan St,Detroit,MI,48235,821103,Schools,42.44150853,-83.1949937
James & Grace Lee Boggs School,4141 Mitchell St,Detroit,MI,48207,821103,Schools,42.3609068,-83.0330537
Jerry L White Ctr HIGH School,14804 W Mcnichols Rd,Detroit,MI,48235,821103,Schools,42.41624332,-83.19562698
John Evans Montessori,16825 Wyoming St,Detroit,MI,48221,821103,Schools,42.4150655,-83.1605377
Joy Preparatory Academy,15055 Dexter Ave,Detroit,MI,48238,821103,Schools,42.40103376,-83.13560641
Keidan Special Education Ctr,4441 Collingwood St,Detroit,MI,48204,821103,Schools,42.3739152,-83.1282548
King John R Academic,15850 Strathmoor St,Detroit,MI,48227,821103,Schools,42.408183,-83.1868837
Krainz Woods Acad-Med Lab Tech,4327 E 7 Mile Rd,Detroit,MI,48234,824906,Schools-Medical & Dental-Assistants/Tech,42.43327343,-83.06065448
Legacy Charter Academy,4900 E Hildale St,Detroit,MI,48234,821103,Schools,42.4287809,-83.0541624
Leona Group LLC,1761 Waterman St,Detroit,MI,48209,821103,Schools,42.3121326,-83.1147279
Liberian Of Michigan,13300 Puritan St,Detroit,MI,48227,821103,Schools,42.4096314,-83.1767669
Lincoln-King Academy,13436 Grove St,Detroit,MI,48235,821103,Schools,42.41406878,-83.17792249
Loving Elementary School,1000 Lynn St,Detroit,MI,48211,821103,Schools,42.39168363,-83.07562262
Loyola High School,15325 Pinehurst St,Detroit,MI,48238,821103,Schools,42.4027579,-83.16634189
Mackenzie Elementary-Middle,10147 W Chicago,Detroit,MI,48204,821103,Schools,42.3653389,-83.1607169
