CompanyName,Address,City,State,Zip,PrimarySICCode,PrimarySICDescription,SICCode1,SICCode1Description,Latitude,Longitude,CensusBlock,CensusBlockGroup,CensusTract
Hayloft Saloon,8070 Greenfield Rd,Detroit,MI,48228,581301,Bars,581301,Bars,42.351976,-83.1962747,1005,1,5355
Heck's Bar,20005 Van Dyke St,Detroit,MI,48234,581301,Bars,581301,Bars,42.44254041,-83.02463979,1008,1,5061
Hopcat,4265 Woodward Ave,Detroit,MI,48201,581301,Bars,581301,Bars,42.35195562,-83.06105168,1004,1,5203
I P Ent & Inuendo Night Club,744 E Savannah St,Detroit,MI,48203,581301,Bars,581301,Bars,42.4256701,-83.0950892,2026,2,5078
Jacoby's German Biergarten,624 Brush St,Detroit,MI,48226,581301,Bars,581301,Bars,42.3322903,-83.0420767,1044,1,5172
Jumbo's Bar,3736 3rd St,Detroit,MI,48201,581301,Bars,581301,Bars,42.3461181,-83.0658723,1015,1,5204
KLAW,23636 Grand River Ave,Detroit,MI,48219,581301,Bars,581301,Bars,42.42290052,-83.27292732,3016,3,5414
Kwicky Bar,4130 E 8 Mile Rd,Detroit,MI,48234,581301,Bars,581301,Bars,42.44717726,-83.06355461,3005,3,5068
L J's Lounge,2114 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,42.33145343,-83.07557564,1048,1,5214
L's Sweethart Bar,2114 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,42.33145343,-83.07557564,1048,1,5214
LA Dolce Vita,17546 Woodward Ave,Detroit,MI,48203,581301,Bars,581301,Bars,42.4202258,-83.1065465,2002,2,5079
LA Nena's,8600 W Vernor Hwy,Detroit,MI,48209,581301,Bars,581301,Bars,42.3096617,-83.1321756,3009,3,5241
Linda Bonneys Bar & Grille,17175 Harper Ave,Detroit,MI,48224,581208,Restaurants,581208,Restaurants,42.4172297,-82.9355628,5023,5,5015
Liv Resto Lounge,641 Beaubien St,Detroit,MI,48226,581301,Bars,581301,Bars,42.33260274,-83.04116866,1044,1,5172
Locker Room Bar,19290 Livernois Ave,Detroit,MI,48221,581301,Bars,581301,Bars,42.43334785,-83.14147909,1017,1,5382
Locker Room Lounge,18290 Livernois Ave,Detroit,MI,48221,581303,Cocktail Lounges,581303,Cocktail Lounges,42.4256917,-83.1408265,2007,2,5384
Lovin Life,19956 James Couzens Fwy,Detroit,MI,48235,735910,Rental Service-Stores & Yards,735910,Rental Service-Stores & Yards,42.4386862,-83.19487295,6031,6,5392
Lucky Lounge,15146 Gratiot Ave,Detroit,MI,48205,581301,Bars,581301,Bars,42.445585,-82.9702963,4010,4,5002
Marble Bar,1501 Holden St,Detroit,MI,48208,581304,Night Clubs,581304,Night Clubs,42.3630008,-83.0852381,1022,1,5224
Mc Shane's Irish Pub-Whiskey,1460 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,42.3317392,-83.0667649,1061,1,5214
Menjo's,928 W Mcnichols Rd,Detroit,MI,48203,581301,Bars,581301,Bars,42.4178309,-83.1152689,2010,2,5383
Metro Pub,1234 Washington Blvd,Detroit,MI,48226,581301,Bars,581301,Bars,42.3330115,-83.0504334,2010,2,5207
Mix Brick Town,641 Beaubien St,Detroit,MI,48226,581301,Bars,581301,Bars,42.33260274,-83.04116866,1044,1,5172
Motor Bar,1114 Washington Blvd,Detroit,MI,48226,581301,Bars,581301,Bars,42.3324029,-83.050419,2013,2,5207
Msue Chirp,2727 2nd Ave,Detroit,MI,48201,581301,Bars,581301,Bars,42.3400081,-83.0616442,1016,1,5225
Mutiny Bar,4654 W Vernor Hwy,Detroit,MI,48209,581301,Bars,581301,Bars,42.3195181,-83.0982668,1006,1,5233
Mytown Lounge,2281 W Fort St,Detroit,MI,48216,581301,Bars,581301,Bars,42.32001666,-83.07206359,1036,1,9853
Nancy Whiskey Pub,2644 Harrison St,Detroit,MI,48216,581301,Bars,581301,Bars,42.33508289,-83.07253199,1079,1,5215
Nemo's Kitchen,1384 Michigan Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.33151798,-83.06493226,1015,1,5214
Nikki's Place,17200 Harper Ave,Detroit,MI,48224,581301,Bars,581301,Bars,42.4171066,-82.9346503,5022,5,5015
Nite Cap Lounge,24817 W Mcnichols Rd,Detroit,MI,48219,581301,Bars,581301,Bars,42.4140129,-83.2855919,3008,3,5443
Northern Lights Lounge,660 W Baltimore St,Detroit,MI,48202,581301,Bars,581301,Bars,42.36691623,-83.07629018,3030,3,5339
Old Miami,3930 Cass Ave,Detroit,MI,48201,581301,Bars,581301,Bars,42.3489808,-83.0622038,2000,2,5203
Old Shillelagh,349 Monroe St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.3344846,-83.0440755,1034,1,5172
On The Town Riddles,1001 Woodward Ave # 5th,Detroit,MI,48226,581301,Bars,581301,Bars,42.3319717,-83.0476654,2015,2,5207
P P H Lounge,11526 Portlance St,Detroit,MI,48205,581301,Bars,581301,Bars,42.4195752,-83.004222,1000,1,5052
Panos Restaurant Inc,404 W Congress St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.3285042,-83.050449,1054,1,5208
Pappy's Sports Bar & Grill,517 Monroe St,Detroit,MI,48226,581301,Bars,581301,Bars,42.33510564,-83.04234344,1032,1,5172
Paris Bar & Niteclub,1346 Broadway St,Detroit,MI,48226,581301,Bars,581301,Bars,42.3353234,-83.0461635,2058,2,5172
Park Bar,2040 Park Ave,Detroit,MI,48226,581301,Bars,581301,Bars,42.3366508,-83.05258189,1014,1,5207
Peterboro,420 Peterboro St,Detroit,MI,48201,581208,Restaurants,581208,Restaurants,42.34433695,-83.06026278,2002,2,5225
Pj's Lager House,1254 Michigan Ave,Detroit,MI,48226,581301,Bars,581301,Bars,42.33157412,-83.06284201,1014,1,5214
Player's,13710 E 8 Mile Rd,Detroit,MI,48205,581303,Cocktail Lounges,581303,Cocktail Lounges,42.44922309,-82.98429034,3001,3,5031
Po Billy Enterprises,19430 W Warren Ave,Detroit,MI,48228,581301,Bars,581301,Bars,42.3434577,-83.2312014,3003,3,5459
PV Lounge,1435 Randolph St,Detroit,MI,48226,581301,Bars,581301,Bars,42.335614,-83.0459215,2058,2,5172
Queens Bar,35 Grand River Ave,Detroit,MI,48226,581301,Bars,581301,Bars,42.33392739,-83.04887644,2008,2,5207
Raven Lounge & Restaurant,5145 Chene St,Detroit,MI,48211,581208,Restaurants,581208,Restaurants,42.3669051,-83.0419536,1046,1,5184
Roseland Bar & Grill,18401 W 8 Mile Rd,Detroit,MI,48219,581301,Bars,581301,Bars,42.44397419,-83.22479407,2003,2,5408
Sidekicks Saloon,7023 Chatfield St,Detroit,MI,48209,581301,Bars,581301,Bars,42.308927,-83.1151799,3003,3,5238
Slapshotz Bar & Grill,1 Detroit Metro Airport,Detroit,MI,48242,581301,Bars,581301,Bars,42.21209836,-83.35168415,1021,1,9854
Standby,225 Gratiot Ave # 100,Detroit,MI,48226,581301,Bars,581301,Bars,42.33419703,-83.04612457,2057,2,5172
Star Life Bar & Grille,18300 W 7 Mile Rd,Detroit,MI,48219,581208,Restaurants,581208,Restaurants,42.43005492,-83.22174959,2013,2,5407
Starr Hookah,20655 Grand River Ave,Detroit,MI,48219,581255,Hookah Bars & Lounges,581255,Hookah Bars & Lounges,42.41120887,-83.24467673,3007,3,5432
Starter's Lounge,18426 Plymouth Rd,Detroit,MI,48228,581208,Restaurants,581208,Restaurants,42.3724484,-83.2212999,1025,1,5469
Starters Bar & Grill,4501 Woodward Ave,Detroit,MI,48201,581208,Restaurants,581208,Restaurants,42.3531562,-83.0635313,1000,1,5203
Stinger's Lounge,19404 Sherwood St,Detroit,MI,48234,581301,Bars,581301,Bars,42.4373243,-83.0338254,2015,2,5062
Studio 51,1995 Woodbridge St,Detroit,MI,48207,581301,Bars,581301,Bars,42.33519457,-83.0278462,1033,1,5165
Sugar House,2130 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,42.3316436,-83.0757799,1048,1,5214
Sweet Water Tavern,16909 Harper Ave,Detroit,MI,48224,581301,Bars,581301,Bars,42.41618031,-82.93732926,4002,4,5014
Sweetwater Tavern,400 E Congress St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.3316604,-83.0417276,1056,1,5172
T V Lounge,2548 Grand River Ave,Detroit,MI,48201,581303,Cocktail Lounges,581303,Cocktail Lounges,42.33782833,-83.06220035,1026,1,5225
Tap,1777 3rd St # Mgmgrand,Detroit,MI,48226,799302,Casinos,799302,Casinos,42.333673,-83.060364,1047,1,5207
Temple Bar,2906 Cass Ave,Detroit,MI,48201,581301,Bars,581301,Bars,42.3421884,-83.0583934,2007,2,5225
Temptation,8203 W Chicago,Detroit,MI,48204,864108,Clubs,864108,Clubs,42.3660205,-83.1500787,4000,4,5347
Teresa's Place,14000 W Mcnichols Rd,Detroit,MI,48235,581301,Bars,581301,Bars,42.4168339,-83.1836444,2017,2,5395
TGI Friday's,1 Detroit Metro Airport # N-18,Detroit,MI,48242,581208,Restaurants,581208,Restaurants,42.21209836,-83.35168415,1021,1,9854
Thomas Magee's,1412 E Fisher Fwy,Detroit,MI,48207,581301,Bars,581301,Bars,42.34482778,-83.03895207,1101,1,5189
Tippin In Lounge,18430 Mount Elliott St,Detroit,MI,48234,581208,Restaurants,581208,Restaurants,42.42858555,-83.03864333,2009,2,5063
Tom's Tavern,10093 W 7 Mile Rd,Detroit,MI,48221,581208,Restaurants,581208,Restaurants,42.43124484,-83.16196675,3000,3,5387
Tommy's Detroit Bar & Grill,624 3rd St,Detroit,MI,48226,581301,Bars,581301,Bars,42.3272999,-83.0536589,1056,1,5208
Tony V's Tavern,5756 Cass Ave,Detroit,MI,48202,581301,Bars,581301,Bars,42.3622975,-83.0698253,2000,2,5202
Town Pump Tavern,100 W Montcalm St,Detroit,MI,48201,581301,Bars,581301,Bars,42.33826727,-83.0539889,1002,1,5207
Townhouse,500 Woodward Ave # 200,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.32956923,-83.04497602,1076,1,5172
